tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-exact-date-of-birth,animal-life-stage,animal-ring-id,animal-sex,attachment-type,deployment-end-comments,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-readout-method
"26359",26359c,Aquila chrysaetos,2002-10-20 00:00:00.000,2007-04-09 23:59:59.000,,2002-07-22 00:00:00.000,HY,608-50115,m,harness,Finished 4/9/07 - good sensors,26359c,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"37434",37434a,Aquila chrysaetos,2002-10-25 00:00:00.000,2003-11-22 23:59:59.000,Dead bird (mid-Nov 2003) - no recover - turned off,2002-07-27 00:00:00.000,HY,629-42578,m,harness,Dead bird (mid-Nov 2003) - no recover - turned off,37434a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"26400",26400b,Aquila chrysaetos,2002-11-04 00:00:00.000,2004-06-12 23:59:59.000,,1999-11-05 00:00:00.000,ATY,PTT26400B,m,harness,"Stop transmit mid-June 2004 - voltage had begun to drop and become unsteady but still mostly >3 at failure time, otherwise good sensors",26400b,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"26353",26353c,Aquila chrysaetos,2003-10-03 00:00:00.000,2004-05-24 23:59:59.000,Dead bird (24 May 2004) - recovered,2003-07-05 00:00:00.000,HY,1807-27798,m,harness,Dead bird (24 May 2004) - recovered,26353c,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"37301",37301b,Aquila chrysaetos,2003-10-05 00:00:00.000,2004-07-26 23:59:59.000,Dead bird (~7/26/04) - turned off 9/07,2002-08-31 00:00:00.000,SY,0629-29191,m,harness,Dead bird (~7/26/04) - turned off 9/07,37301b,none,"Chelan Ridge, WA",North Star Science and Technology,80,satellite
"37307",37307a,Aquila chrysaetos,2003-10-06 00:00:00.000,2004-10-30 23:59:59.000,Dead bird (mid Oct '04) - stop transmit - no recover,2000-10-06 00:00:00.000,ATY,0629-27799,f,harness,Dead bird (mid Oct '04) - stop transmit - no recover,37307a,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"21260",21260b,Aquila chrysaetos,2004-09-08 00:00:00.000,2005-06-30 23:59:59.000,Dead bird (6/29/05) - recovered,2004-06-10 00:00:00.000,HY,0629-27789,m,harness,Dead bird (6/29/05) - recovered,21260b,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"21259",21259b,Aquila chrysaetos,2004-09-21 00:00:00.000,2004-10-30 23:59:59.000,Dead bird (mid-Oct 2004) - stop transmit 11/23/04 - no recover,2004-06-23 00:00:00.000,HY,0629-29194,m,harness,Dead bird (mid-Oct 2004) - stop transmit 11/23/04 - no recover,21259b,none,"Chelan Ridge, WA",North Star Science and Technology,80,satellite
"21166",21166b,Aquila chrysaetos,2004-09-25 00:00:00.000,2006-07-21 23:59:59.000,Dead bird (7/21/067) - recovered,2004-06-27 00:00:00.000,HY,629-27790,m,harness,Dead bird (7/21/067) - recovered,21166b,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"26401",26401b,Aquila chrysaetos,2004-09-30 00:00:00.000,2005-05-28 23:59:59.000,,2003-08-27 00:00:00.000,SY,629-49202,m,harness,"Stop transmit 5/28/05 - strong voltage, good activity, temperature OK but highly variable",26401b,none,"Bonney Butte, OR",North Star Science and Technology,80,satellite
"21168",21168b,Aquila chrysaetos,2004-10-08 00:00:00.000,2006-01-05 23:59:59.000,,2004-07-10 00:00:00.000,HY,0629-51521,m,harness,Stop transmit 5 Jan 06 - good sensors,21168b,none,"Commissary Ridge, WY",North Star Science and Technology,80,satellite
"18549",18549b,Aquila chrysaetos,2004-10-10 00:00:00.000,2005-08-31 23:59:59.000,Dead bird (Aug 2005) - recovered 10/26/05,2004-07-12 00:00:00.000,HY,0629-29188,m,harness,Dead bird (Aug 2005) - recovered 10/26/05,18549b,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"21839",21839b,Aquila chrysaetos,2004-10-15 00:00:00.000,2005-02-11 23:59:59.000,,2003-09-11 00:00:00.000,SY,0629-49226,m,harness,"Stop transmit late Feb '05 - voltage dropping steadily but still >3 when failed, temps good, activity counter good",21839b,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
"11515",11515a,Aquila chrysaetos,2005-10-12 00:00:00.000,2008-09-02 23:59:59.000,,2005-07-14 00:00:00.000,HY,629-51526,f,harness,Finished - no trans Jun 07 to Jan 08 but resumed thru Sep 08 - all sensors good throughout,11515a,none,"Manzano Mountains, NM",Microwave Telemetry,90,satellite
"21260",21260c,Aquila chrysaetos,2005-10-23 00:00:00.000,2008-11-16 23:59:59.000,,2005-07-25 00:00:00.000,HY,629-29190,m,harness,Finished mid-Nov 2008,21260c,none,"Bonney Butte, OR",North Star Science and Technology,80,satellite
"71527",71527a,Aquila chrysaetos,2006-10-07 00:00:00.000,2007-11-30 23:59:59.000,Dead bird (Nov 2007) - recovered,2006-07-09 00:00:00.000,HY,629-23835,m,harness,Dead bird (Nov 2007) - recovered,71527a,none,"Manzano Mountains, NM",North Star Science and Technology,60,satellite
"37306",37306a,Aquila chrysaetos,2006-10-12 00:00:00.000,2007-03-17 23:59:59.000,Dead bird (3/17/07)- recovered,2006-07-14 00:00:00.000,HY,629-49227,m,harness,Dead bird (3/17/07)- recovered,37306a,none,"Goshute Mountains, NV",North Star Science and Technology,80,satellite
"26353",26353d,Aquila chrysaetos,2007-10-29 00:00:00.000,2008-02-27 23:59:59.000,Electrocuted near Rock Springs Feb 2008 - recovered,2006-09-24 00:00:00.000,SY,629-51535,f,harness,Electrocuted near Rock Springs Feb 2008 - recovered,26353d,none,"Commissary Ridge, WY",North Star Science and Technology,80,satellite
"71526",71526a,Aquila chrysaetos,2008-10-23 00:00:00.000,2009-10-27 23:59:59.000,,2008-07-25 00:00:00.000,HY,629-49205,m,harness,Stop transmit 27 Oct 2009 - good sensors - no recover but hoping solar unit turns on again in spring 2010,71526a,none,"Commissary Ridge, WY",North Star Science and Technology,60,satellite
"21166",21166c,Aquila chrysaetos,2008-10-25 00:00:00.000,2009-02-08 23:59:59.000,Dead bird (Feb 2009) - recovered 4/9,2008-07-27 00:00:00.000,HY,659-02760,f,harness,Dead bird (Feb 2009) - recovered 4/9,21166c,none,"Manzano Mountains, NM",North Star Science and Technology,80,satellite
